name,David Walsh,Nonso Nnamoko,Hafeez Ullah Amin,Dan Campbell,Ghada Nakhla,Yannis Korkontzelos
David Walsh,0.9999999999999997,0.181810651728943,0.1753474212169905,0.12502677860606345,0.22318368430604263,0.1424196581512163
Nonso Nnamoko,0.181810651728943,0.9999999999999997,0.32244136411855545,0.04223147162210708,0.22913744890397714,0.2716700213288158
Hafeez Ullah Amin,0.1753474212169905,0.32244136411855545,0.9999999999999998,0.06666665010575648,0.23029716704602712,0.2863484760082777
Dan Campbell,0.12502677860606345,0.04223147162210708,0.06666665010575648,0.9999999999999994,0.04024058246703944,0.08493360685391971
Ghada Nakhla,0.22318368430604263,0.22913744890397714,0.23029716704602712,0.04024058246703944,1.0000000000000002,0.294051586111372
Yannis Korkontzelos,0.1424196581512163,0.2716700213288158,0.2863484760082777,0.08493360685391971,0.294051586111372,0.9999999999999999
